date,avg_price,total_sold,small_sold,large_sold,xl_sold,total_bags_sold,small_bags_sold,large_bags_sold,xl_bags_sold
2016-12-25,1.00,30300000000,9260000000,10300000000,542000000,10200000000,7710000000,2420000000,81101.22
2016-12-18,0.96,29600000000,9390000000,10300000000,428000000,9420000000,6970000000,2360000000,94011.78
2016-12-11,0.98,30100000000,9010000000,,403000000,10700000000,8150000000,2490000000,73342.82
2016-12-04,1.00,31600000000,11000000000,9910000000,428000000,10200000000,7190000000,2990000000,65350.63
2016-11-27,1.21,22900000000,7890000000,7340000000,,7350000000,5690000000,1610000000,48623.28
2016-11-20,1.27,25000000000,,8030000000,408000000,8020000000,6210000000,1770000000,44709.40
2016-11-13,1.36,24100000000,8240000000,7760000000,478000000,7600000000,5600000000,1960000000,43104.31
2016-11-06,1.44,22500000000,7800000000,,505000000,7100000000,5250000000,1810000000,40918.74
2016-10-30,1.43,21000000000,7100000000,6850000000,453000000,6600000000,4660000000,1880000000,66283.51
2016-10-23,1.34,24800000000,7580000000,8110000000,452000000,8620000000,6510000000,2020000000,91798.83
2016-10-16,1.30,27700000000,8810000000,,447000000,9590000000,6930000000,2580000000,84553.37
2016-10-09,1.27,28900000000,9550000000,9580000000,491000000,9240000000,6850000000,2320000000,69278.75
2016-10-02,1.23,29600000000,9540000000,9120000000,490000000,10500000000,7410000000,2980000000,76030.52
2016-09-25,1.22,30300000000,10600000000,9260000000,493000000,10000000000,7440000000,2480000000,91688.30
2016-09-18,1.15,31400000000,11300000000,9480000000,486000000,10000000000,7650000000,2310000000,79996.50
2016-09-11,01.08,34100000000,13000000000,,512000000,10300000000,8200000000,2020000000,55304.06
2016-09-04,01.04,37100000000,14600000000,11100000000,,10900000000,8560000000,2210000000,93326.07
2016-08-28,01.09,34000000000,12600000000,10400000000,564000000,10500000000,8500000000,1790000000,159271.47
2016-08-21,1.10,33600000000,12700000000,9910000000,610000000,10400000000,8750000000,1450000000,155008.66
2016-08-14,1.12,34400000000,12400000000,,749000000,10400000000,8480000000,1810000000,111938.56
2016-08-07,1.15,33800000000,12200000000,10700000000,755000000,10100000000,8390000000,1570000000,181048.76
2016-07-31,1.23,31200000000,10200000000,10400000000,784000000,9830000000,8190000000,1430000000,199967.39
2016-07-24,1.20,32300000000,10300000000,10800000000,948000000,10300000000,8320000000,1560000000,387400.22
2016-07-17,1.15,32700000000,10300000000,10600000000,954000000,10800000000,8740000000,1630000000,390478.73
2016-07-10,1.10,35600000000,11500000000,11700000000,1270000000,11200000000,8990000000,1730000000,454343.65
2016-07-03,1.06,40000000000,12500000000,13300000000,1760000000,12400000000,9970000000,1890000000,551693.65
2016-06-26,1.04,36600000000,12200000000,12000000000,1630000000,10800000000,8840000000,1610000000,328589.09
2016-06-19,1.02,38500000000,13500000000,12800000000,1640000000,10500000000,8220000000,1980000000,317018.94
2016-06-12,1.04,35600000000,12300000000,11500000000,1610000000,10200000000,8040000000,1800000000,311439.99
2016-06-05,0.97,40200000000,13800000000,13400000000,1770000000,11300000000,8490000000,2440000000,321033.23
2016-05-29,0.94,40000000000,13700000000,13800000000,,10900000000,8090000000,2660000000,180120.85
2016-05-22,0.93,37000000000,11700000000,13000000000,1640000000,10600000000,7840000000,2560000000,224991.99
2016-05-15,0.89,39900000000,12500000000,14400000000,,11300000000,7990000000,3140000000,146047.01
2016-05-08,0.82,46300000000,14200000000,17900000000,1990000000,12200000000,8750000000,3340000000,120650.09
2016-05-01,0.84,42900000000,13800000000,15900000000,1410000000,11800000000,8380000000,3370000000,62734.87
2016-04-24,0.87,39600000000,12900000000,14400000000,1600000000,10700000000,7840000000,2800000000,75010.64
2016-04-17,0.90,37500000000,,12900000000,1900000000,10700000000,8130000000,2470000000,125169.40
2016-04-10,0.90,36600000000,12900000000,,1670000000,10500000000,7810000000,2610000000,77737.02
2016-04-03,0.94,33700000000,11300000000,11500000000,1730000000,9100000000,6830000000,2210000000,59188.81
2016-03-27,0.94,35900000000,11300000000,12800000000,1880000000,10100000000,7750000000,2230000000,82386.14
2016-03-20,0.93,36300000000,,13700000000,1770000000,9700000000,7250000000,2370000000,77638.79
2016-03-13,0.93,36400000000,11700000000,13100000000,1800000000,9810000000,7230000000,2520000000,55589.00
2016-03-06,0.95,35100000000,11800000000,12200000000,1690000000,9360000000,7500000000,1750000000,106815.12
2016-02-28,0.91,36800000000,11900000000,13200000000,1560000000,10100000000,7250000000,2800000000,69494.92
2016-02-21,0.94,32800000000,,12000000000,1380000000,9410000000,7210000000,2150000000,45654.02
2016-02-14,0.88,36500000000,11900000000,13200000000,1810000000,9560000000,7100000000,2390000000,74421.62
2016-02-07,0.76,52300000000,16600000000,20500000000,2550000000,12700000000,9080000000,3370000000,241661.48
2016-01-31,0.93,34700000000,11100000000,13300000000,1640000000,8700000000,6690000000,1820000000,192999.80
2016-01-24,0.95,32800000000,7020000000,14100000000,1440000000,10300000000,7440000000,2670000000,165014.74
2016-01-17,0.94,34400000000,10000000000,13800000000,1420000000,9140000000,6850000000,2230000000,63337.40
2016-01-10,0.93,35300000000,,13200000000,1280000000,9310000000,6740000000,2530000000,50874.09
2016-01-03,0.86,38100000000,,16100000000,1560000000,8910000000,6470000000,2290000000,159083.80
